Project,Date,Week,User,Activity,Ticket,Comment,Hours
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Henri Anvill,Development,Subtask #36264: Enrolled_to class,"",0.00
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Henri Anvill,Development,Subtask #36254: Registered_to class,"",0.00
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Henri Anvill,Development,Subtask #36254: Registered_to class,"",0.10
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Henri Anvill,Development,Subtask #36264: Enrolled_to class,"",0.10
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Henri Anvill,Development,Subtask #36254: Registered_to class,"",0.00
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Henri Anvill,Development,Subtask #36264: Enrolled_to class,"",0.00
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Johhny McClan,Development,Subtask #36359: Question class aanmaken,"",0.20
[2020] Secret Mission Analytics - team 2,18/02/2020,7,Donald Duck,Development,Subtask #36261: Quiz class,"",0.20
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Design,Assignment #35926: [9]Als secret agent wil ik een manier om data op te slaan in het KGB-program,bespreking schema,4.50
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Donald Duck,Meeting,Assignment #37610: Creeren van Klasse schema,"",4.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Meeting,Assignment #37610: Creeren van Klasse schema,"",4.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Development,Assignment #35926: [9]Als secret agent wil ik een manier om data op te slaan in het KGB-program,"",2.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Development,Subtask #36252: Logger Class,"",0.40
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Development,Subtask #36251: Session Class,"",0.40
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Donald Duck,Development,Subtask #36256: Replied_to class,"",0.50
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36262: Logged_out_of class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36262: Logged_out_of class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36262: Logged_out_of class,"",0.05
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36268: Logged_into class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36268: Logged_into class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Development,Subtask #36265: forum class,"",0.40
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Isabeau Griffendor,Development,Subtask #36267: resource class,"",0.10
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36253: Action Class,"",0.10
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36268: Logged_into class,"",0.10
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36253: Action Class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Development,Subtask #36255: Module Interface Class,"",0.20
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36338: Student class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36338: Student class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36338: Student class,"",0.00
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Henri Anvill,Development,Subtask #36338: Student class,"",0.30
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Donald Duck,Development,Subtask #36250: Admin Class,"",0.30
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Isabeau Griffendor,Development,Subtask #36269: Viewed class,"",0.05
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Development,Subtask #36255: Module Interface Class,"",0.10
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Isabeau Griffendor,Development,Subtask #36248: Person Class,"",0.33
[2020] Secret Mission Analytics - team 2,17/02/2020,7,Johhny McClan,Analysis,Subtask #36257: Course Class,"",0.05
[2020] Secret Mission Analytics - team 2,15/02/2020,7,Johhny McClan,Research,Assignment #35913: Als secret agent wil ik data in het KGB-program hebben,"",1.20
[2020] Secret Mission Analytics - team 2,13/02/2020,6,Henri Anvill,Development,Assignment #37610: Creeren van Klasse schema,Klassenschema bespreken en aanmaken.,5.50
[2020] Secret Mission Analytics - team 2,11/02/2020,6,Donald Duck,Meeting,Assignment #35913: Als secret agent wil ik data in het KGB-program hebben,"",5.00
[2020] Secret Mission Analytics - team 2,11/02/2020,6,Johhny McClan,Meeting,Assignment #35913: Als secret agent wil ik data in het KGB-program hebben,"",5.00
[2020] Secret Mission Analytics - team 2,09/02/2020,6,Henri Anvill,Research,Assignment #35926: [9]Als secret agent wil ik een manier om data op te slaan in het KGB-program,"",4.50
[2020] Secret Mission Analytics - team 2,02/02/2020,5,Henri Anvill,Research,Assignment #35926: [9]Als secret agent wil ik een manier om data op te slaan in het KGB-program,introductiemeeting,2.00
[2020] Secret Mission Analytics - team 2,02/02/2020,5,Donald Duck,Meeting,Assignment #35926: [9]Als secret agent wil ik een manier om data op te slaan in het KGB-program,"",4.00
